cathode TotalCurrent(SSE_n44_des) X,cathode TotalCurrent(SSE_n44_des) Y,cathode TotalCurrent(SSE_n45_des) X,cathode TotalCurrent(SSE_n45_des) Y,cathode TotalCurrent(SSE_n47_des) X,cathode TotalCurrent(SSE_n47_des) Y,cathode TotalCurrent(SSE_n48_des) X,cathode TotalCurrent(SSE_n48_des) Y
6.9866932e-12,8.0402388e-06,6.9866932e-12,8.0126579e-06,6.9866932e-12,7.8473091e-06,6.9866932e-12,7.9505563e-06
7.0866932e-12,8.8441698e-06,7.0866932e-12,8.8140812e-06,7.0866932e-12,8.6326722e-06,7.0866932e-12,8.7496322e-06
7.1866932e-12,9.7063625e-06,7.1866932e-12,9.6736483e-06,7.1866932e-12,9.4751271e-06,7.1866932e-12,9.6075876e-06
7.2866932e-12,1.0628372e-05,7.2866932e-12,1.0592926e-05,7.2866932e-12,1.0376238e-05,7.2866932e-12,1.0526216e-05
7.3866932e-12,1.161147e-05,7.3866932e-12,1.1573203e-05,7.3866932e-12,1.1337301e-05,7.3866932e-12,1.1507067e-05
7.4866932e-12,1.2656608e-05,7.4866932e-12,1.2615449e-05,7.4866932e-12,1.2359304e-05,7.4866932e-12,1.2551413e-05
7.5866932e-12,1.3764376e-05,7.5866932e-12,1.372028e-05,7.5866932e-12,1.3442894e-05,7.5866932e-12,1.3660211e-05
7.6866932e-12,1.4934968e-05,7.6866932e-12,1.4887915e-05,7.6866932e-12,1.4588333e-05,7.6866932e-12,1.4834068e-05
7.7866932e-12,1.6168141e-05,7.7866932e-12,1.6118146e-05,7.7866932e-12,1.5795472e-05,7.7866932e-12,1.6073208e-05
7.8866932e-12,1.7463187e-05,7.8866932e-12,1.7410303e-05,7.8866932e-12,1.7063712e-05,7.8866932e-12,1.7377437e-05
7.9866932e-12,1.88189e-05,7.9866932e-12,1.8763223e-05,7.9866932e-12,1.8391978e-05,7.9866932e-12,1.874612e-05
8.0866932e-12,2.023355e-05,8.0866932e-12,2.0175224e-05,8.0866932e-12,1.9778693e-05,8.0866932e-12,2.0178147e-05
8.1866932e-12,2.1704864e-05,8.1866932e-12,2.1644088e-05,8.1866932e-12,2.1221757e-05,8.1866932e-12,2.1671919e-05
8.2866932e-12,2.3230012e-05,8.2866932e-12,2.3167043e-05,8.2866932e-12,2.2718531e-05,8.2866932e-12,2.3225322e-05
8.3866932e-12,2.4805594e-05,8.3866932e-12,2.4740753e-05,8.3866932e-12,2.4265833e-05,8.3866932e-12,2.4835723e-05
