EventID,ParticleName,IncidentEnergy_keV,TotalEdep_keV,MaxDepthSiC_um,TrackLength_mm,NumSteps,NumSecondaries,MeanEdepPerStep_keV,EdepStdDev_keV,ParticleStopped,FinalKineticEnergy_keV,EnergyEscapeFraction,BraggPeakDepth_um,BraggPeakIntensity_keV,SecondaryTypes
98,e-,100.000000,100.000000,13.008161,0.057419,14,0,7.142857,5.250212,true,0.000000,0.000000,9.523611,24.222090,
99,e-,100.000000,100.000000,31.009489,0.042781,11,0,9.090909,8.857427,true,0.000000,0.000000,30.040090,30.871686,
100,e-,100.000000,100.000000,40.329082,0.057988,14,0,7.142857,4.574893,true,0.000000,0.000000,40.329082,17.880176,
101,e-,100.000000,100.000000,10.920227,0.037535,10,0,10.000000,8.348918,true,0.000000,0.000000,1.848498,30.097059,
102,e-,100.000000,100.000000,36.440171,0.064091,15,0,6.666667,4.954859,true,0.000000,0.000000,35.877254,20.962884,
103,e-,100.000000,100.000000,31.427365,0.062349,15,0,6.666667,4.527496,true,-0.000000,-0.000000,29.841024,18.330741,
104,e-,100.000000,100.000000,32.495546,0.056144,13,0,7.692308,7.397616,true,-0.000000,-0.000000,32.495546,30.701207,
105,e-,100.000000,100.000000,35.261916,0.054846,13,0,7.692308,5.636470,true,0.000000,0.000000,35.261916,23.654445,
106,e-,100.000000,100.000000,23.112780,0.066029,15,0,6.666667,5.792643,true,0.000000,0.000000,23.112780,24.459912,
107,e-,100.000000,100.000000,28.237277,0.056185,13,0,7.692308,5.852447,true,0.000000,0.000000,27.212730,22.805777,
108,e-,100.000000,100.000000,19.474236,0.050922,13,0,7.692308,6.246434,true,0.000000,0.000000,19.057286,26.398294,
109,e-,100.000000,100.000000,16.470318,0.065637,16,0,6.250000,4.248331,true,-0.000000,-0.000000,10.509428,17.160698,
110,e-,100.000000,100.000000,16.844859,0.040844,10,0,10.000000,12.005796,true,0.000000,0.000000,16.294520,40.938735,
111,e-,100.000000,100.000000,32.284998,0.063336,15,0,6.666667,5.164966,true,-0.000000,-0.000000,32.114346,17.982127,
112,e-,100.000000,100.000000,14.731266,0.064542,15,0,6.666667,5.188139,true,0.000000,0.000000,13.869600,22.097571,
113,e-,100.000000,100.000000,22.206536,0.058201,14,0,7.142857,4.338604,true,-0.000000,-0.000000,20.838316,14.926013,
114,e-,100.000000,100.000000,25.523852,0.061485,14,0,7.142857,5.248572,true,0.000000,0.000000,22.431619,22.845625,
115,e-,100.000000,100.000000,10.233084,0.048458,13,0,7.692308,7.791437,true,0.000000,0.000000,10.233084,29.423601,
116,e-,100.000000,100.000000,36.125727,0.057290,14,0,7.142857,5.650399,true,-0.000000,-0.000000,35.271431,22.393089,
117,e-,100.000000,100.000000,36.063795,0.061688,15,0,6.666667,4.414089,true,0.000000,0.000000,34.088810,16.895903,
118,e-,100.000000,100.000000,19.877612,0.066327,15,0,6.666667,5.677699,true,0.000000,0.000000,14.555448,24.748478,
119,e-,100.000000,100.000000,23.654119,0.044736,11,0,9.090909,7.914523,true,-0.000000,-0.000000,11.926593,22.961546,
120,e-,100.000000,100.000000,22.205013,0.043768,11,0,9.090909,7.499761,true,-0.000000,-0.000000,22.204250,22.134268,
121,e-,100.000000,100.000000,35.333642,0.061432,15,0,6.666667,4.179889,true,0.000000,0.000000,31.667434,17.170472,
122,e-,100.000000,100.000000,23.856416,0.050871,12,0,8.333333,6.489666,true,-0.000000,-0.000000,19.883120,23.533657,
123,e-,100.000000,67.489944,17.048831,0.049428,14,0,4.820710,2.576371,false,32.510056,0.325101,6.108819,8.518859,
124,e-,100.000000,10.937860,5.881641,0.014974,7,0,1.562551,0.634389,false,89.062140,0.890621,1.970788,2.424254,
125,e-,100.000000,80.990743,10.992787,0.057569,19,0,4.262671,2.312746,false,19.009257,0.190093,5.110096,8.977772,
126,e-,100.000000,100.000000,16.187970,0.050974,12,0,8.333333,6.490514,true,0.000000,0.000000,16.187970,24.399336,
127,e-,100.000000,100.000000,34.866197,0.067553,17,0,5.882353,5.001685,true,0.000000,0.000000,34.866197,21.729144,
128,e-,100.000000,100.000000,27.606053,0.048565,12,0,8.333333,5.260137,true,0.000000,0.000000,27.606053,19.229524,
129,e-,100.000000,100.000000,26.376951,0.051560,13,0,7.692308,6.439592,true,0.000000,0.000000,25.622791,24.172710,
130,e-,100.000000,75.182524,13.873129,0.052878,14,0,5.370180,2.958095,false,24.817476,0.248175,0.000000,13.432232,
131,e-,100.000000,100.000000,11.324615,0.030526,9,0,11.111111,11.798471,true,0.000000,0.000000,6.385189,39.611580,
132,e-,100.000000,100.000000,20.877608,0.059386,15,0,6.666667,4.108196,true,-0.000000,-0.000000,20.761485,19.604963,
133,e-,100.000000,100.000000,26.949216,0.042289,11,0,9.090909,7.818479,true,-0.000000,-0.000000,23.374013,25.998211,
134,e-,100.000000,100.000000,25.309368,0.057264,14,0,7.142857,5.155972,true,0.000000,0.000000,19.216444,19.757076,
135,e-,100.000000,100.000000,27.580129,0.050620,12,0,8.333333,5.982460,true,0.000000,0.000000,24.569877,22.194693,
136,e-,100.000000,100.000000,8.798325,0.051811,18,0,5.555556,4.998694,true,-0.000000,-0.000000,3.998809,23.983938,
137,e-,100.000000,100.000000,24.670284,0.062939,15,0,6.666667,3.730641,true,0.000000,0.000000,24.670284,13.976751,
138,e-,100.000000,100.000000,28.487658,0.062664,15,0,6.666667,4.338575,true,0.000000,0.000000,28.047473,18.975550,
139,e-,100.000000,100.000000,28.180032,0.046172,12,0,8.333333,8.199046,true,0.000000,0.000000,27.215217,31.134238,
140,e-,100.000000,100.000000,28.671636,0.055881,14,0,7.142857,5.620315,true,-0.000000,-0.000000,28.400048,22.423640,
141,e-,100.000000,100.000000,27.547265,0.061580,15,0,6.666667,5.062001,true,0.000000,0.000000,26.600986,21.520266,
142,e-,100.000000,100.000000,19.253548,0.054341,13,0,7.692308,6.058393,true,0.000000,0.000000,11.828904,19.838045,
143,e-,100.000000,100.000000,29.176785,0.064336,15,0,6.666667,5.325714,true,0.000000,0.000000,29.176785,24.020801,
144,e-,100.000000,100.000000,22.864635,0.047653,12,0,8.333333,6.878218,true,0.000000,0.000000,20.991637,25.027617,
145,e-,100.000000,100.000000,31.769759,0.055037,13,0,7.692308,6.362535,true,-0.000000,-0.000000,31.769759,25.295148,
146,e-,100.000000,100.000000,30.561624,0.054650,13,0,7.692308,4.923642,true,0.000000,0.000000,30.561624,20.102899,
147,e-,100.000000,100.000000,36.756014,0.061997,15,0,6.666667,4.718950,true,-0.000000,-0.000000,36.756014,18.458905,
148,e-,100.000000,100.000000,36.379688,0.059737,14,0,7.142857,6.756628,true,0.000000,0.000000,31.557712,21.758141,
149,e-,100.000000,100.000000,31.234183,0.042344,11,0,9.090909,7.614718,true,0.000000,0.000000,30.450819,23.533084,
150,e-,100.000000,100.000000,25.645395,0.068714,16,0,6.250000,5.064591,true,0.000000,0.000000,24.121824,20.647372,
151,e-,100.000000,100.000000,9.532723,0.067050,18,0,5.555556,4.001648,true,0.000000,0.000000,4.530896,17.883547,
152,e-,100.000000,100.000000,38.608398,0.064853,15,0,6.666667,5.884644,true,-0.000000,-0.000000,37.339752,24.338717,
153,e-,100.000000,37.111924,5.578986,0.028002,11,0,3.373811,2.140814,false,62.888076,0.628881,5.340975,8.222553,
154,e-,100.000000,100.000000,20.537955,0.049767,12,0,8.333333,6.288889,true,-0.000000,-0.000000,15.867257,22.659716,
155,e-,100.000000,100.000000,28.315408,0.055161,14,0,7.142857,7.158817,true,0.000000,0.000000,28.314818,30.529416,
156,e-,100.000000,100.000000,23.779142,0.055728,14,0,7.142857,5.952026,true,-0.000000,-0.000000,20.511555,22.130892,
157,e-,100.000000,100.000000,50.794662,0.065165,15,0,6.666667,6.227259,true,0.000000,0.000000,49.610024,23.065457,
158,e-,100.000000,100.000000,26.401575,0.050250,12,0,8.333333,8.736923,true,-0.000000,-0.000000,26.401575,27.200471,
159,e-,100.000000,36.142239,12.235966,0.038686,11,0,3.285658,1.350126,false,63.857761,0.638578,5.655148,6.169140,
160,e-,100.000000,100.000000,23.565131,0.043872,11,0,9.090909,7.096881,true,0.000000,0.000000,23.565131,26.803328,
161,e-,100.000000,100.000000,31.896800,0.061740,15,0,6.666667,4.473874,true,0.000000,0.000000,31.336300,14.923416,
162,e-,100.000000,85.523009,19.759773,0.063628,17,0,5.030765,3.027302,false,14.476991,0.144770,2.750673,13.340879,
163,e-,100.000000,100.000000,43.018361,0.063208,15,0,6.666667,4.951818,true,0.000000,0.000000,43.018361,21.728200,
164,e-,100.000000,100.000000,14.864572,0.038351,10,0,10.000000,7.073209,true,0.000000,0.000000,12.969328,26.101860,
165,e-,100.000000,100.000000,31.353891,0.058311,14,0,7.142857,4.599226,true,-0.000000,-0.000000,30.028243,16.130120,
166,e-,100.000000,100.000000,28.480107,0.066018,16,0,6.250000,4.170418,true,0.000000,0.000000,23.809542,19.414526,
167,e-,100.000000,63.366471,18.925994,0.055170,15,0,4.224431,1.878998,false,36.633529,0.366335,6.381081,8.356751,
